Workload,Mach Data Latency,Mach Execution Latency,Kafka Data Latency,Kafka Execution Latency,ES Data Latency,ES Execution Latency
0.2,0.010149021,0.08796685,0.000003462,0.025211365,3123.746054,0.059903263
0.2,0.012809157,0.107208458,1.100815645,0.037865402,2560.521487,0.020715793
0.2,0.019099199,0.101528006,0.000004369,0.03232897,3832.565093,0.02183642
0.2,0.009664661,0.05974792,0.000003205,0.02316799,2516.154606,0.027295882
0.2,0.020517161,0.124073689,0.000003793,0.036435716,3253.196872,0.021578354
0.2,0.013651451,0.064218974,0.000003364,0.020679269,2106.718292,0.050283734
0.2,0.018016636,0.199720514,0.000003413,0.064380262,3071.957444,0.479625408
0.2,0.018498199,0.212524638,0.000003532,0.056653663,3043.964059,0.069133953
0.2,0.01337262,0.12482317,0.000003831,0.039693609,2929.718992,0.182094389
0.2,0.01986371,0.125936518,3.202365511,0.053810434,2680.193565,0.41174264
0.2,0.013886699,0.098942577,1.100813318,0.027037939,2156.456615,0.026299617
0.2,0.022144065,0.110132661,0.000003826,0.038676773,2457.460781,0.011955203
0.2,0.019630907,0.067152526,3.102297304,0.027947074,2249.489679,0.106187812
0.2,0.01839153,0.145305223,1.200888766,0.048813209,3158.134692,0.097661852
0.2,0.015620748,0.173802658,0.000003752,0.043988707,3194.643479,0.10390294
0.2,0.017237043,0.086390931,0.000003308,0.021620207,3268.134864,0.051377916
0.2,2.083902389,0.051387443,1.20088989,0.015673509,3139.100934,0.059550258
0.2,0.016006696,0.1516811,1.200872025,0.041639077,2985.373434,0.082435197
0.2,0.01265777,0.19387623,0.000003869,0.055212119,2976.419494,0.058220319
0.2,0.019375934,0.22223358,0.000003078,0.066060919,2645.635819,0.042354753
0.2,0.012328544,0.163023955,0.000003401,0.059363478,2003.289935,0.055115822
0.2,0.010806529,0.04330434,1.100790266,0.009957862,3544.976958,0.141994477
0.2,0.015790145,0.262523107,1.100804223,0.082501026,3543.337927,0.046105013
0.2,0.013169639,0.048886973,0.000004191,0.020393246,2354.858242,0.035785303
0.2,0.014702658,0.135515772,0.000003088,0.040039582,2557.414383,0.118141913
0.2,0.020377087,0.109330969,0.000003163,0.02687812,2082.090762,0.500718565
0.2,0.020663196,0.165168624,3.102288866,0.036367007,2336.477708,0.11956501
0.2,2.05805256,0.16128683,1.10081096,0.036382236,2170.665765,0.014273061
0.2,0.01803791,0.035447937,0.000003423,0.006998086,2179.859958,0.144458226
0.2,0.013028155,0.030717013,6.204522243,0.006313503,3093.416937,0.166643693
0.2,0.020556804,0.050183118,1.100838163,0.009227278,3026.765555,0.015752402
